"Name","Population","Held by","source","More information","sourceLink","update","Lat","Lon"
"Melitopol","150768","Russia","66","See Battle of Melitopol","https://web.archive.org/web/20220224164052/https://www.marca.com/en/lifestyle/world-news/2022/02/24/6216fca2ca4741a0458b4599.html","19 March 2022 01h51 UTC","46.8333","35.3667"
"Mena","11096","Russia","","","","19 March 2022 01h51 UTC","51.5167","32.2167"
"Merefa","21421","Ukraine","","","","19 March 2022 01h51 UTC","49.806","36.0503"
"Mykolaiv","476101","Ukraine","56","See Battle of Mykolaiv","https://www.wsj.com/articles/ukrainian-counteroffensive-near-mykolaiv-relieves-strategic-port-city-11647605489","19 March 2022 01h51 UTC","46.9667","32"
"Mohyliv-Podilskyi","30186","Ukraine","","","","19 March 2022 01h51 UTC","48.45","27.7833"
"Mukachevo","85903","Ukraine","","","","19 March 2022 01h51 UTC","48.4493","22.7117"
"Nadvirna","22545","Ukraine","","","","19 March 2022 01h51 UTC","48.6333","24.5833"
"Nemishaieve","7841","Contested","33","","https://web.archive.org/web/20220303005644/https://www.unian.ua/war/u-gostomeli-nemishayevomu-buchi-ta-borodyanci-trivayut-boji-policiya-novini-kiyeva-11726557.html","19 March 2022 01h51 UTC","50.5624","30.0925"
"Nikolske","7867","Russia","14","","https://kabar24.bisnis.com/read/20220310/19/1509180/update-situasi-militer-perang-rusia-vs-ukraina-hari-ke-15-serangan-rusia-masih-gencar","19 March 2022 01h51 UTC","47.2029","37.3197"
"Nikopol","107464","Ukraine","","","","19 March 2022 01h51 UTC","47.5772","34.3575"
"Nova Kakhovka","45069","Russia","28","See Kherson offensive","https://web.archive.org/web/20220227070903/https://www.tbsnews.net/world/nova-kakhovka-has-fallen-russia-ukraine-media-377014","19 March 2022 01h51 UTC","46.7667","33.3667"
"Novhorod-Siverskyi","12647","Ukraine","5","","https://suspilne.media/216201-aka-gumanitarna-situacia-na-novgorod-siversini/","19 March 2022 01h51 UTC","51.9833","33.2667"
"Novoazovsk","11104","Donetsk PR","","","","19 March 2022 01h51 UTC","47.119","38.067"
"Novohrad-Volynskyi","55463","Ukraine","","","","19 March 2022 01h51 UTC","50.5833","27.6333"
"Novomoskovsk","70230","Ukraine","","","","19 March 2022 01h51 UTC","48.6328","35.2239"
"Novovolynsk","50417","Ukraine","","","","19 March 2022 01h51 UTC","50.7333","24.1667"
"Novovorontsovka","6081","Russia","25","","https://ua.korrespondent.net/ukraine/4457270-dnipropetrovska-oblast-hotova-do-oporu-korban","19 March 2022 01h51 UTC","47.4981","33.9169"
"Obukhiv","33443","Ukraine","","","","19 March 2022 01h51 UTC","50.1","30.6167"
"Ochakiv","13927","Ukraine","","","","19 March 2022 01h51 UTC","46.6186","31.5392"
"Odessa","1015826","Ukraine","","","","19 March 2022 01h51 UTC","46.4825","30.7233"
"Oleksandriia","77303","Ukraine","","","","19 March 2022 01h51 UTC","48.6633","33.0968"
"Oleshky","24383","Russia","29","See Kherson offensive","https://web.archive.org/web/20220224212816/https://en.interfax.com.ua/news/general/801461.html","19 March 2022 01h51 UTC","46.6199","32.7073"
"Pavlohrad","103073","Ukraine","","","","19 March 2022 01h51 UTC","48.52","35.87"
"Pechenihy","5058","Contested","19","","https://www.facebook.com/GeneralStaff.ua/posts/259676363012116","19 March 2022 01h51 UTC","49.8647","36.9364"
"Pershotravensk","27573","Ukraine","","","","19 March 2022 01h51 UTC","48.3464","36.4044"
"Pervomaiskyi","28986","Ukraine","","","","19 March 2022 01h51 UTC","49.3869","36.2142"
"Piatykhatky","18457","Ukraine","","","","19 March 2022 01h51 UTC","48.4126","33.7034"
"Pidhorodne","19336","Ukraine","","","","19 March 2022 01h51 UTC","48.5737","35.0966"
"Pivdenne","7394","Ukraine","","","","19 March 2022 01h51 UTC","49.8849","36.0687"
"Podilsk","39662","Ukraine","","","","19 March 2022 01h51 UTC","47.7419","29.535"
"Pokrov","38111","Ukraine","","","","19 March 2022 01h51 UTC","47.6632","34.0811"
"Polohy","18396","Russia","67","","https://bnn-news.com/ukraine-after-11th-night-of-war-mayor-killed-towns-taken-moscow-promises-civilian-corridors-to-russia-233013","19 March 2022 01h51 UTC","47.4796","36.2611"
"Poltava","283402","Ukraine","","","","19 March 2022 01h51 UTC","49.5744","34.5686"
"Prybuzke","100","Ukraine","56","","https://www.wsj.com/articles/ukrainian-counteroffensive-near-mykolaiv-relieves-strategic-port-city-11647605489","19 March 2022 01h51 UTC","46.739","31.8824"
"Rakhiv","15596","Ukraine","","","","19 March 2022 01h51 UTC","48.05","24.2167"
"Ripky","6807","Russia","","","","19 March 2022 01h51 UTC","51.799444","31.083333"
"Rivne","245289","Ukraine","","","","19 March 2022 01h51 UTC","50.6197","26.2514"
"Romny","38305","Contested","61","","https://web.archive.org/web/20220226051022/https://www.ukrinform.ru/rubric-ato/3412147-v-sumskoj-oblasti-kolonny-voennoj-tehniki-rf-posli-na-romny-i-dibrovu.html","19 March 2022 01h51 UTC","50.7428","33.4879"
"Rozhyshche","12584","Ukraine","","","","19 March 2022 01h51 UTC","50.9131","25.27"
"Rubizhne","56066","Luhansk PR","50","","https://mil-lnr.su/press-sluzhba/milnews/8403-nad-administraciey-rubezhnogo-podnyat-flag-lnr.html","19 March 2022 01h51 UTC","49.0167","38.3667"
"Sambir","34444","Ukraine","","","","19 March 2022 01h51 UTC","49.5167","23.2"
"Sartana","10117","Russia","15","","https://web.archive.org/web/20220301204329/https://greekcitytimes.com/2022/03/02/russian-forces-sartana-mariupol/","19 March 2022 01h51 UTC","47.1739","37.6915"
"Semenivka","7952","Russia","2","","https://web.archive.org/web/20220224214801/https://suspilne.media/210292-u-gorodni-ta-semenivci-fiksuut-rosijsku-vijskovu-tehniku/","19 March 2022 01h51 UTC","52.1772","32.5797"
"Sevastopol","509992","Russia","8","See Annexation of Crimea by the Russian Federation","https://web.archive.org/web/20220223213939/https://www.politico.eu/article/crimea-peninsula-relation-russia-ukraine/","19 March 2022 01h51 UTC","44.6","33.5333"
"Shevchenkove","595","Ukraine","56","","https://www.wsj.com/articles/ukrainian-counteroffensive-near-mykolaiv-relieves-strategic-port-city-11647605489","19 March 2022 01h51 UTC","47.5437155","32.537078"
"Shostka","73197","Ukraine","59","","https://web.archive.org/web/20220225122458/https://kyivindependent.com/uncategorized/russian-military-establish-road-checkpoints-on-kyiv-sumy-highway/","19 March 2022 01h51 UTC","51.8657","33.4766"
"Shpola","16573","Ukraine","","","","19 March 2022 01h51 UTC","48.9969","31.4022"
"Sievierodonetsk","101135","Contested","47","","https://www.newyorker.com/magazine/2022/03/21/what-the-russian-invasion-has-done-to-ukraine","19 March 2022 01h51 UTC","48.95","38.4833"
"Simferopol","332317","Russia","8","","https://web.archive.org/web/20220223213939/https://www.politico.eu/article/crimea-peninsula-relation-russia-ukraine/","19 March 2022 01h51 UTC","44.9484","34.1"
"Synelnykove","30021","Ukraine","","","","19 March 2022 01h51 UTC","48.3178","35.5119"
"Skadovsk","17344","Russia","30","","https://www.pravda.com.ua/news/2022/03/13/7330874/","19 March 2022 01h51 UTC","46.1167","32.9167"
"Slavutych","24685","Ukraine","43","","https://suspilne.media/216769-sodenniki-vijni-mi-vidrizani-vid-civilizacii-ak-zive-slavutic-v-otocenni/","19 March 2022 01h51 UTC","51.5206","30.7569"
"Sloviansk","106972","Ukraine","","","","19 March 2022 01h51 UTC","48.87","37.625"
"Smila","66475","Ukraine","","","","19 March 2022 01h51 UTC","49.2167","31.8667"
"Snovsk","12315","Contested","6","","https://web.archive.org/web/20220224222024/https://www.unian.ua/war/u-snovsku-ukrajinci-zahopili-i-spalili-rosiyskiy-tank-yakiy-zagluh-na-ob-jizniy-video-novini-donbasu-11716765.html","19 March 2022 01h51 UTC","51.8167","31.95"
"Sosnytsia","6708","Contested","7","","https://web.archive.org/web/20220225080945/https://suspilne.media/210739-drugij-den-zbrojnogo-napadu-cernigivsina-tekstova-translacia/","19 March 2022 01h51 UTC","51.5222","32.5017"
"Stakhanov","73702","Luhansk PR","","","","19 March 2022 01h51 UTC","48.5472","38.6361"
"Stanytsia Luhanska","12505","Russia","52","","https://web.archive.org/web/20220226155817/https://ua.interfax.com.ua/news/general/802510.html","19 March 2022 01h51 UTC","48.6667","39.4667"
"Starobilsk","16267","Luhansk PR","","See Battle of Starobilsk","","19 March 2022 01h51 UTC","49.2667","38.9167"
"Storozhynets","14138","Ukraine","","","","19 March 2022 01h51 UTC","48.1548","25.7101"
"Sumy","259660","Truce","1","See Battle of Sumy","https://web.archive.org/web/20220308103244/https://www.bbc.com/news/live/world-europe-60657155","19 March 2022 01h51 UTC","50.9068","34.7992"
"Svaliava","17124","Ukraine","","","","19 March 2022 01h51 UTC","48.5472","22.9861"
"Svatove","16420","Russia","51","","https://euromaidanpress.com/2022/03/09/unarmed-ukrainian-locals-of-occupied-towns-protest-against-russian-invaders/","19 March 2022 01h51 UTC","49.4092","38.1619"
"Svitlovodsk","43931","Ukraine","","","","19 March 2022 01h51 UTC","49.0833","33.25"
"Talne","13012","Ukraine","","","","19 March 2022 01h51 UTC","48.8863","30.7027"
"Ternivka","29226","Ukraine","","","","19 March 2022 01h51 UTC","48.5231","36.0826"
"Ternopil","225238","Ukraine","","","","19 March 2022 01h51 UTC","49.5667","25.6"
"Tokmak","30132","Russia","67","","https://bnn-news.com/ukraine-after-11th-night-of-war-mayor-killed-towns-taken-moscow-promises-civilian-corridors-to-russia-233013","19 March 2022 01h51 UTC","47.2514","35.7058"
"Truskavets","28474","Ukraine","","","","19 March 2022 01h51 UTC","49.2806","23.505"
"Tulchyn","14668","Ukraine","","","","19 March 2022 01h51 UTC","48.6744","28.8497"
"Ukrainka","200","Ukraine","56","","https://www.wsj.com/articles/ukrainian-counteroffensive-near-mykolaiv-relieves-strategic-port-city-11647605489","19 March 2022 01h51 UTC","50.15","30.7519"
"Uman","100135","Ukraine","","","","19 March 2022 01h51 UTC","48.75","30.2167"
"Uzhhorod","115542","Ukraine","","","","19 March 2022 01h51 UTC","48.6239","22.295"
"Valky","8721","Ukraine","","","","19 March 2022 01h51 UTC","49.8386","35.6217"
"Vasylivka","12771","Russia","67","","https://bnn-news.com/ukraine-after-11th-night-of-war-mayor-killed-towns-taken-moscow-promises-civilian-corridors-to-russia-233013","19 March 2022 01h51 UTC","47.4344","35.2808"
"Vasylkiv","37310","Ukraine","45","See Battle of Vasylkiv","https://web.archive.org/web/20220227032621/https://kyivindependent.com/uncategorized/ukraine-repels-russian-forces-in-vasylkiv-near-kyiv/","19 March 2022 01h51 UTC","50.1775","30.3217"
"Vatutine","16096","Ukraine","","","","19 March 2022 01h51 UTC","49.0167","31.0667"
"Velyka Oleksandrivka","6487","Russia","25","","https://ua.korrespondent.net/ukraine/4457270-dnipropetrovska-oblast-hotova-do-oporu-korban","19 March 2022 01h51 UTC","47.3212","33.3033"
"Verkhnodniprovsk","16976","Ukraine","","","","19 March 2022 01h51 UTC","48.6561","34.3283"
"Vilnohirsk","22458","Ukraine","","","","19 March 2022 01h51 UTC","48.4824","34.0189"
"Vinnytsia","370601","Ukraine","","","","19 March 2022 01h51 UTC","49.2372","28.4672"
"Vynohradiv","25442","Ukraine","","","","19 March 2022 01h51 UTC","48.1397","23.0331"
"Vyshhorod","22933","Ukraine","44","See Kyiv offensive (2022)","https://english.nv.ua/nation/russia-preparing-attack-on-vyshhorod-says-ukrainian-army-command-50223011.html","19 March 2022 01h51 UTC","50.5833","30.5"
"Volnovakha","21441","Donetsk PR","16"," Awarded Hero City status","https://edition.cnn.com/europe/live-news/ukraine-russia-putin-news-03-11-22/h_4d42be46e5f7137415357edad4f81f0a","19 March 2022 01h51 UTC","47.5951","37.4831"
"Volodymyr","38070","Ukraine","","","","19 March 2022 01h51 UTC","50.8482","24.3257"
"Vorzel","6766","Russia","40","","https://www.ukrinform.net/rubric-ato/3422872-bucha-vorzel-hostomel-under-enemys-control-situation-remains-critical.html","19 March 2022 01h51 UTC","50.55","30.15"
"Vovchansk","17747","Russia","20","","https://web.archive.org/web/20220227034127/https://t.me/suspilnekharkiv/7862","19 March 2022 01h51 UTC","50.2881","36.9461"
"Voznesensk","34050","Ukraine","57","","https://www.youtube.com/watch","19 March 2022 01h51 UTC","47.5725","31.3119"
"Yalta","76746","Russia","8","","https://web.archive.org/web/20220223213939/https://www.politico.eu/article/crimea-peninsula-relation-russia-ukraine/","19 March 2022 01h51 UTC","44.4994","34.1553"
"Yenakiieve","77053","Russia","18","","https://web.archive.org/web/20170904201347/https://www.kyivpost.com/article/content/war-against-ukraine/no-longer-at-the-war-front-depressed-yenakiyeve-waits-for-recovery-under-russian-occupation-391901.html","19 March 2022 01h51 UTC","48.2311","38.2053"
"Yevpatoria","105719","Russia","8","","https://web.archive.org/web/20220223213939/https://www.politico.eu/article/crimea-peninsula-relation-russia-ukraine/","19 March 2022 01h51 UTC","45.1905","33.3669"
"Zaporizhzhia","722713","Ukraine","","See Battle of Zaporizhzhia","","19 March 2022 01h51 UTC","47.8378","35.1383"
"Zelenodolsk","12874","Ukraine","","","","19 March 2022 01h51 UTC","47.5631","33.6524"
"Zhashkiv","13355","Ukraine","","","","19 March 2022 01h51 UTC","49.25","30.1"
"Zhytomyr","263507","Ukraine","","","","19 March 2022 01h51 UTC","50.2544","28.6578"
"Zhmerynka","34097","Ukraine","","","","19 March 2022 01h51 UTC","49.0425","28.0992"
"Zhovti Vody","42901","Ukraine","","","","19 March 2022 01h51 UTC","48.35","33.5167"
"Zmiiv","14071","Ukraine","","","","19 March 2022 01h51 UTC","49.6878","36.3558"
"Zolotonosha","27458","Ukraine","","","","19 March 2022 01h51 UTC","49.6833","32.0333"
"Zvenyhorodka","16490","Ukraine","","","","19 March 2022 01h51 UTC","49.0833","30.9667"
"Alchevsk","106550","Luhansk PR","","","","19 March 2022 16h04 UTC","48.4672","38.7983"
"Antonov Airport","0","Russia","33","See Battle of Antonov Airport","https://web.archive.org/web/20220225171132/https://www.bbc.com/news/live/world-europe-60517447","19 March 2022 16h04 UTC","50.5911","30.2074"
"Apostolove","16356","Ukraine","","","","19 March 2022 16h04 UTC","47.6595","33.717"
"Arkhanhelske","1769","Russia","26","","https://ua.korrespondent.net/ukraine/4457270-dnipropetrovska-oblast-hotova-do-oporu-korban","19 March 2022 16h04 UTC","47.4297","33.4081"
"Bakhmut","72310","Ukraine","10","","https://web.archive.org/web/20150923150638/http://artemrada.gov.ua/uk/news/10260","19 March 2022 16h04 UTC","48.6044","38.0067"
"Balakliia","26921","Contested","22","","https://web.archive.org/web/20220226132929/https://suspilne.media/211232-do-balaklii-nablizautsa-vijska-rf-miskij-golova/","19 March 2022 16h04 UTC","49.4564","36.8389"
"Bar","15563","Ukraine","","","","19 March 2022 16h04 UTC","49.0781","27.6831"
"Barvinkove","8110","Ukraine","","","","19 March 2022 16h04 UTC","48.9067","37.0131"
"Berdiansk","107928","Russia","64","See Battle of Berdiansk","https://web.archive.org/web/20220227214850/https://edition.cnn.com/europe/live-news/ukraine-russia-news-02-27-22/h_9b36acb1e0881aa346e1e1edec93e14f","19 March 2022 16h04 UTC","46.7598","36.7845"
"Berdychiv","73999","Ukraine","","","","19 March 2022 16h04 UTC","49.8919","28.6"
"Berehove","23485","Ukraine","","","","19 March 2022 16h04 UTC","48.2025","22.6375"
"Berezhany","17316","Ukraine","","","","19 March 2022 16h04 UTC","49.45","24.9333"
"Beryslav","12123","Contested","27","","https://t.me/dsszzi_official/2337","19 March 2022 16h04 UTC","46.8333","33.4167"
"Bershad","12446","Ukraine","","","","19 March 2022 16h04 UTC","48.3728","29.5325"
"Bila Tserkva","208737","Ukraine","","","","19 March 2022 16h04 UTC","49.7956","30.1167"
"Bile","100","Russia","","See Attack on Snake Island","","19 March 2022 16h04 UTC","45.255","30.204167"
"Bilhorod-Dnistrovskyi","48197","Ukraine","","","","19 March 2022 16h04 UTC","46.1833","30.3333"
"Bilmak","6507","Russia","65","","http://1news.zp.ua/pid-zaporizhzhyam-u-polon-vzyali-eks-vagnerivczya/","19 March 2022 16h04 UTC","47.3589","36.65"
"Bilovodsk","7771","Russia","54","","https://www.ukrinform.ua/rubric-other_news/3420058-sbu-rosijski-vijska-vderlisa-v-bilovodsk-i-postavili-svogo-kerivnika-vca.html","19 March 2022 16h04 UTC","49.1992","39.5756"
"Bohodukhiv","15797","Contested","20","","https://www.facebook.com/GeneralStaff.ua/posts/259676363012116","19 March 2022 16h04 UTC","50.1608","35.5164"
"Borodianka","13044","Contested","34","","https://web.archive.org/web/20220303005644/https://www.unian.ua/war/u-gostomeli-nemishayevomu-buchi-ta-borodyanci-trivayut-boji-policiya-novini-kiyeva-11726557.html","19 March 2022 16h04 UTC","50.6439","29.9339"
"Brody","23335","Ukraine","","","","19 March 2022 16h04 UTC","50.0781","25.1542"
"Brovary","109473","Contested","36","","https://news.sky.com/video/ukraine-war-lots-and-lots-of-losses-military-vehicles-destroyed-in-brovary-north-east-of-kyiv-12562350","19 March 2022 16h04 UTC","50.5114","30.7903"
"Bucha","36971","Russia","39","","https://edition.cnn.com/2022/03/06/europe/ukraine-russia-invasion-sunday-intl-hnk/index.html","19 March 2022 16h04 UTC","50.5464","30.235"
"Burshtyn","14866","Ukraine","","","","19 March 2022 16h04 UTC","49.26","24.635"
"Cherkasy","272651","Ukraine","","","","19 March 2022 16h04 UTC","49.4444","32.0597"
"Chernihiv","285234","Truce","1","See Battle of Chernihiv Awarded Hero City status","https://web.archive.org/web/20220308103244/https://www.bbc.com/news/live/world-europe-60657155","19 March 2022 16h04 UTC","51.4939","31.2947"
"Chernihivka","5645","Russia","65","","http://1news.zp.ua/pid-zaporizhzhyam-u-polon-vzyali-eks-vagnerivczya/","19 March 2022 16h04 UTC","47.1942","36.2023"
"Chernivtsi","265471","Ukraine","","","","19 March 2022 16h04 UTC","48.2908","25.9344"
"Chernobyl","2500","Russia","","See Battle of Chernobyl","","19 March 2022 16h04 UTC","51.2705","30.2196"
"Chervonohrad","65180","Ukraine","","","","19 March 2022 16h04 UTC","50.3911","24.2351"
"Chortkiv","28393","Ukraine","","","","19 March 2022 16h04 UTC","49.0167","25.8"
"Derhachi","17433","Contested","20","","https://www.facebook.com/GeneralStaff.ua/posts/259676363012116","19 March 2022 16h04 UTC","50.1066","36.1211"
"Dymer","5817","Russia","","","","19 March 2022 16h04 UTC","50.7872","30.3117"
"Dnipro","980948","Ukraine","","","","19 March 2022 16h04 UTC","48.45","34.9833"
"Dolyna","20641","Ukraine","","","","19 March 2022 16h04 UTC","48.9703","24.0108"
"Donetsk","905364","Donetsk PR","11","","https://web.archive.org/web/20220222235006/https://www.reuters.com/world/europe/hope-fear-uncertainty-donetsk-streets-after-putin-move-2022-02-22/","19 March 2022 16h04 UTC","48.0089","37.8042"
"Drohobych","74610","Ukraine","","","","19 March 2022 16h04 UTC","49.35","23.5"
"Dubno","37257","Ukraine","","","","19 March 2022 16h04 UTC","50.3931","25.735"
"Enerhodar","52887","Russia","66","See Siege of Enerhodar","https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-march-4","19 March 2022 16h04 UTC","47.4989","34.6558"
"Fastiv","44841","Ukraine","38","","http://web.archive.org/web/20220311184503/https://www.defense.gouv.fr/portail/actualites2/ukraine-point-de-situation","19 March 2022 16h04 UTC","50.0747","29.9181"
"Haisyn","25883","Ukraine","","","","19 March 2022 16h04 UTC","48.8094","29.3906"
"Hnivan","12314","Ukraine","","","","19 March 2022 16h04 UTC","49.0833","28.35"
"Horlivka","241106","Donetsk PR","12","Horlivka offensive","https://graphics.reuters.com/UKRAINE-CRISIS/zdpxokdxzvx/","19 March 2022 16h04 UTC","48.3336","38.0925"
"Horodnia","11710","Russia","2","","https://web.archive.org/web/20220224214801/https://suspilne.media/210292-u-gorodni-ta-semenivci-fiksuut-rosijsku-vijskovu-tehniku/","19 March 2022 16h04 UTC","51.8833","31.5833"
"Hostomel","17534","Russia","39"," Awarded Hero City status","https://edition.cnn.com/2022/03/06/europe/ukraine-russia-invasion-sunday-intl-hnk/index.html","19 March 2022 16h04 UTC","50.5692","30.2653"
"Irpin","62456","Truce","1","See Battle of Irpin","https://web.archive.org/web/20220308103244/https://www.bbc.com/news/live/world-europe-60657155","19 March 2022 16h04 UTC","50.5167","30.25"
"Ivankiv","10563","Russia","42","See Battle of Ivankiv","https://www.bbc.com/news/live/world-europe-60582327","19 March 2022 16h04 UTC","50.9333","29.9"
"Ivano-Frankivsk","237855","Ukraine","","","","19 March 2022 16h04 UTC","48.9228","24.7106"
"Izium","45884","Ukraine","23","","https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-march-18","19 March 2022 16h04 UTC","49.2238","37.2915"
"Izmail","70731","Ukraine","","","","19 March 2022 16h04 UTC","45.35","28.8333"
"Kalynivka","18695","Ukraine","","","","19 March 2022 16h04 UTC","49.4472","28.5231"
"Kalush","65814","Ukraine","","","","19 March 2022 16h04 UTC","49.0442","24.3597"
"Kamianets-Podilskyi","97908","Ukraine","","","","19 March 2022 16h04 UTC","48.6806","26.5806"
"Kamianka","11146","Ukraine","","","","19 March 2022 16h04 UTC","49.0333","32.1"
"Kamianske","229794","Ukraine","","","","19 March 2022 16h04 UTC","48.5076","34.6132"
"Kaniv","23503","Ukraine","","","","19 March 2022 16h04 UTC","49.7447","31.4558"
"Kerch","149566","Russia","9","","https://web.archive.org/web/20220223213939/https://www.politico.eu/article/crimea-peninsula-relation-russia-ukraine/","19 March 2022 16h04 UTC","45.3573","36.4683"
"Kharkiv","1433886","Ukraine","24","See Battle of Kharkiv (2022) Awarded Hero City status","https://web.archive.org/web/20220303021005/https://www.wsj.com/articles/russia-resumes-kharkiv-bombardment-in-bid-to-break-ukrainian-resistance-11646208607","19 March 2022 16h04 UTC","50","36.2292"
"Kherson","283649","Russia","28","See Battle of Kherson Awarded Hero City status","https://web.archive.org/web/20220302022018/https://www.bbc.com/news/live/world-europe-60582327","19 March 2022 16h04 UTC","46.6333","32.6"
"Khmelnytskyi","274582","Ukraine","","","","19 March 2022 16h04 UTC","49.42","27"
"Khmilnyk","27158","Ukraine","","","","19 March 2022 16h04 UTC","49.55","27.9667"
"Khrystynivka","10068","Ukraine","","","","19 March 2022 16h04 UTC","48.8333","29.9667"
"Khust","28206","Ukraine","","","","19 March 2022 16h04 UTC","48.1814","23.2978"
"Kyiv","2962180","Ukraine","59","Present military control in Kyiv See Kyiv offensive (2022) and Battle of Kyiv (2022)","https://web.archive.org/web/20220303230707/https://www.cnbc.com/2022/03/01/russia-still-has-sights-set-on-kyiv-despite-tough-ukraine-resistance.html","19 March 2022 16h04 UTC","50.45","30.5236"
"Kivertsi","13917","Ukraine","","","","19 March 2022 16h04 UTC","50.8331","25.4614"
"Klavdiievo-Tarasove","5019","Russia","41","","https://www.ukrinform.net/rubric-ato/3422872-bucha-vorzel-hostomel-under-enemys-control-situation-remains-critical.html","19 March 2022 16h04 UTC","50.5825","30.0053"
"Kolomyia","61140","Ukraine","","","","19 March 2022 16h04 UTC","48.5167","25.0333"
"Konotop","84787","Russia","60","See Battle of Konotop (2022)","https://web.archive.org/web/20220225122458/https://kyivindependent.com/uncategorized/russian-military-establish-road-checkpoints-on-kyiv-sumy-highway/","19 March 2022 16h04 UTC","51.2369","33.2027"
"Koriukivka","12409","Contested","3","","https://web.archive.org/web/20220225110135/https://suspilne.media/210832-icnanskij-vijskkomat-sogodni-zranku-pereihav-do-priluk/","19 March 2022 16h04 UTC","51.7833","32.25"
"Korsun-Shevchenkivskyi","17474","Ukraine","","","","19 March 2022 16h04 UTC","49.4261","31.2806"
"Kostiantynivka","68792","Ukraine","","","","19 March 2022 16h04 UTC","48.5333","37.7167"
"Kostopil","31060","Ukraine","","","","19 March 2022 16h04 UTC","50.8833","26.4431"
"Kovel","67991","Ukraine","","","","19 March 2022 16h04 UTC","51.2167","24.7167"
"Kozelets","7646","Russia","4","","https://www.criticalthreats.org/analysis/russian-offensive-campaign-assessment-march-9","19 March 2022 16h04 UTC","50.9164","31.1147"
"Koziatyn","22634","Ukraine","","","","19 March 2022 16h04 UTC","49.7167","28.8333"
"Kramatorsk","150084","Ukraine","","","","19 March 2022 16h04 UTC","48.7208","37.5556"
"Krasiatychi","645","Russia","","","","19 March 2022 16h04 UTC","51.076389","29.6375"
"Krasnyi Luch","79764","Luhansk PR","50","","https://web.archive.org/web/20210628014205/https://en.interfax.com.ua/news/general/342825.html","19 March 2022 16h04 UTC","48.1406","38.9367"
"Krasnohrad","20013","Ukraine","","","","19 March 2022 16h04 UTC","49.373","35.4614"
"Kremenchuk","217710","Ukraine","","","","19 March 2022 16h04 UTC","49.0775","33.4239"
"Kryvyi Rih","612750","Ukraine","","","","19 March 2022 16h04 UTC","47.9086","33.3433"
"Krolevets","22437","Ukraine","63","","https://web.archive.org/web/20220225122458/https://kyivindependent.com/uncategorized/russian-military-establish-road-checkpoints-on-kyiv-sumy-highway/","19 March 2022 16h04 UTC","51.5489","33.386"
"Kropyvnytskyi","222695","Ukraine","","","","19 March 2022 16h04 UTC","48.5103","32.2667"
"Kupiansk","27169","Russia","25","","https://web.archive.org/web/20220228032920/https://www.pravda.com.ua/eng/news/2022/02/27/7326623/","19 March 2022 16h04 UTC","49.7064","37.6167"
"Ladyzhyn","22593","Ukraine","","","","19 March 2022 16h04 UTC","48.6667","29.2167"
"Lebedyn","24238","Ukraine","63","","https://web.archive.org/web/20220225122458/https://kyivindependent.com/uncategorized/russian-military-establish-road-checkpoints-on-kyiv-sumy-highway/","19 March 2022 16h04 UTC","50.5831","34.4823"
"Lysychansk","95031","Contested","49","","https://www.pravda.com.ua/eng/news/2022/03/11/7330543/","19 March 2022 16h04 UTC","48.9169","38.4306"
"Liubotyn","20376","Ukraine","","","","19 March 2022 16h04 UTC","49.9489","35.9306"
"Lozova","54026","Ukraine","","","","19 March 2022 16h04 UTC","48.8892","36.3161"
"Lubny","44595","Ukraine","","","","19 March 2022 16h04 UTC","50.0186","32.9869"
"Luch","100","Ukraine","57","","https://www.wsj.com/articles/ukrainian-counteroffensive-near-mykolaiv-relieves-strategic-port-city-11647605489","19 March 2022 16h04 UTC","46.8273","32.2197"
"Luhansk","399559","Luhansk PR","47","","https://web.archive.org/web/20220224063524/https://www.dw.com/en/donetsk-and-luhansk-in-ukraine-a-creeping-process-of-occupation/a-60878068","19 March 2022 16h04 UTC","48.5833","39.3333"
"Lutsk","217197","Ukraine","","","","19 March 2022 16h04 UTC","50.7478","25.3244"
"Lviv","717486","Ukraine","55","Many diplomatic missions have temporarily relocated to Lviv from Kyiv.","https://web.archive.org/web/20220225112418/https://www.cnn.com/europe/live-news/ukraine-russia-news-02-24-22-intl/h_21803c6f2041c343a9acda71e0db7455","19 March 2022 16h04 UTC","49.8419","24.0315"
"Makariv","9589","Contested","35","","https://www.ukrinform.net/rubric-ato/3429730-active-hostilities-underway-in-makariv-and-borodianka.html","19 March 2022 16h04 UTC","50.4667","29.8167"
"Makiivka","340337","Donetsk PR","12","","https://graphics.reuters.com/UKRAINE-CRISIS/zdpxokdxzvx/","19 March 2022 16h04 UTC","48.0556","37.9611"
"Manhush","7858","Russia","13","","https://kabar24.bisnis.com/read/20220309/19/1508726/update-situasi-militer-perang-rusia-vs-ukraina-hari-ke-14-ini-kondisi-kota-kota-yang-digempur-rusia","19 March 2022 16h04 UTC","47.05","37.3"
"Marhanets","45718","Ukraine","","","","19 March 2022 16h04 UTC","47.648","34.6167"
"Mariupol","431859","Contested","14","See Siege of Mariupol Awarded Hero City status","https://web.archive.org/web/20220225220827/https://www.cnn.com/europe/live-news/ukraine-russia-news-02-25-22/h_622a8b21dd1cf52845090a96c9c6513b","19 March 2022 16h04 UTC","47.1306","37.5639"
